"user_id","subscribed","subscription_date","coupon","registration_date","last_edit_date","level","gender","age","study_degree","10k_AI_initiative","completed_courses_count","last_completion_date","last_completed_course_degree"
"957","2","2023-08-01","10k_ai_initiative","2023-07-11 20:25:26","2023-07-11 20:25:26","12","m","22","Student","1","1","2023-08-02 22:33:57.955614","89"
"969","2","2023-08-27","10k_ai_initiative","2023-07-12 14:00:26","2023-07-12 14:00:26","12","m","22","Graduated","1","2","2023-08-31 22:42:37.341327","96"
"986","2","2023-08-27","10k_ai_initiative","2023-07-13 05:12:35","2023-07-13 05:12:35","16","m","28","Graduated","1","4","2023-10-25 04:12:57.158055","94"
"996","1",NULL,"free_initiative_ai","2023-07-13 16:03:50","2023-07-13 16:03:50","15","m","28","Graduated","1","3","2023-09-13 10:55:20.294961","97"
"1019","2","2023-08-16","10k_ai_initiative","2023-07-16 11:04:22","2023-07-16 11:04:22","17","m","29","Graduated","1","5","2023-10-25 19:22:04.270996","100"
"1020","1","2023-07-16",NULL,"2023-07-16 12:56:17","2023-07-16 12:56:17","15","m","26","Graduated","1","3","2023-08-30 16:19:29.967440","96"
"1022","2","2023-07-28","10k_ai_initiative","2023-07-16 14:26:38","2023-07-16 14:26:38","16","m","23","Graduated","1","2","2023-10-31 15:04:53.597482","94"
"1027","2","2023-08-16","10k_ai_initiative","2023-07-16 21:29:58","2023-07-16 21:29:58","6","m","21","Student","1","1","2023-08-08 12:02:06.728341","84"
"1043","1","2023-07-19",NULL,"2023-07-19 02:04:03","2023-07-19 02:04:03","13","m","15","Student","1","1","2023-07-31 07:13:00.960631","84"
"1062","1","2023-07-23",NULL,"2023-07-23 01:00:15","2023-07-23 01:00:15","9","f","29","Graduated","1","1","2023-08-08 09:17:25.433463","86"
"1104","1",NULL,"free_initiative_ai","2023-07-24 14:05:59","2023-07-24 14:05:59","11","m","29","Graduated","1","2","2023-08-20 21:08:54.216260","97"
"1129","2","2023-08-26","10k_ai_initiative","2023-07-24 14:45:12","2023-07-24 14:45:12","14","m","20","Student","1","2","2023-08-27 08:11:29.283734","89"
"1138","1","2023-07-24",NULL,"2023-07-24 15:51:24","2023-07-24 15:51:24","7","f","18","Student","1","1","2023-08-06 00:57:17.302794","82"
"1146","1",NULL,"free_initiative_ai","2023-07-24 16:24:34","2023-07-24 16:24:34","15","m","18","Student","1","4","2023-09-14 16:34:25.044471","97"
"1147","1",NULL,"free_initiative_ai","2023-07-24 16:24:39","2023-07-24 16:24:39","13","m","24","Student","1","2","2023-08-18 21:11:34.363497","91"
"1160","2","2023-08-19","10k_ai_initiative","2023-07-24 18:00:08","2023-07-24 18:00:08","13","m","21","Graduated","1","2","2023-08-20 21:16:53.537401","95"
"1171","1",NULL,"free_initiative_ai","2023-07-24 21:16:38","2023-07-24 21:16:38","16","f","22","Student","1","2","2023-08-18 21:07:43.305984","92"
"1174","1",NULL,"free_initiative_ai","2023-07-24 21:17:33","2023-07-24 21:17:33","13","m","21","Student","1","2","2023-09-27 20:08:11.741623","100"
"1178","2","2023-07-30","10k_ai_initiative","2023-07-24 21:18:45","2023-07-24 21:18:45","2","m","33","Graduated","1","0",NULL,NULL
"1181","1",NULL,"free_initiative_ai","2023-07-24 21:19:34","2023-07-24 21:19:34","14","m","25","Graduated","1","3","2023-09-01 15:20:46.211421","97"
"1185","1",NULL,"free_initiative_ai","2023-07-24 21:22:26","2023-07-24 21:22:26","15","m","27","Graduated","1","3","2023-10-25 03:32:39.818988","100"
"1188","2","2023-09-14","منحة_التوظيف","2023-07-24 21:24:01","2023-07-24 21:24:01","13","f","21","Student","1","3","2023-08-30 09:51:29.965651","100"
